### TP FILE - COLORADO/WY/NM/IA
# Name          ID      LAT		LONG		MSL	RWAY	RADIO   ATTR
 Marion,IA     	C17	42,02.00,N	 91,31.04,W	 862	17/35	122.7	TA 
 Meyer       	CO53	39,33.00,N	105,17.04,W	8000	14/32	_	TA 
 McCullou    	02CO	37,38.60,N	106,02.82,W	7615	17/35	_	TA 
 McElroy     	20V	40,03.22,N	106,22.13,W	7411	03/21	122.8	TA 
 MeadowLa    	00V	38,56.10,N	104,34.42,W	6880	08/26	122.7	TA 
 Meade       	MEJ	37,16.76,N	100,21.37,W	2529	16/34	122.8	TA 
 Medicine    	80V	41,53.00,N	106,10.85,W	6646	06/24	_	TA 
 MedBowPk    	mbpk	41,21.00,N	106,20.00,W	12013	-	_	T 
 Meeker      	EEO	40,02.93,N	107,53.15,W	6421	03/21	122.8	TA 
 Melon       	2V8	38,00.92,N	103,41.95,W	4259	08/26	122.9	TA 
 Merrihew    	0NE0	41,51.00,N	101,57.03,W	3815	_	_	AV 
 Merry       	0NE2	41,52.00,N	101,55.03,W	3791	N/S	_	TA 
 Miller      	1NE6	41,20.45,N	102,46.67,W	4100	08/26	_	TA 
 Miller2e    	2E1	36,05.50,N	102,24.95,W	3961	17/35	_	TA 
 MineralC    	Q39	37,49.25,N	106,55.87,W	8681	07/25	122.9	TA 
 Mollenka    	5KS6	38,46.00,N	101,15.43,W	3295	N/S	_	AV 
 Mondell     	ECS	43,53.12,N	104,19.07,W	4173	13/31	122.8	TA 
 MonteVis    	MVI	37,32.05,N	106,02.77,W	7608	02/20	122.8	TA 
 Monticello,IA 	MXO	42,13.22,N	91,09.80,W	 832	33/15	122.8	TA 
 Montrose    	MTJ	38,30.02,N	107,53.68,W	5758	13/31	122.8	TA 
 Moriarty    	0E0	34,59.13,N	106,00.57,W	6199	08/26	_	TA 
 MorningS    	CD69	37,44.60,N	106,31.10,W	8300	16/34	_	TA 
 Morris      	CD13	39,50.10,N	103,44.50,W	4750	08/26	_	TA 
 MtEvans     	mev	39,35.19,N	105,38.34,W	14264	_	_	T 
 Municipa    	K49	36,30.50,N	101,48.62,W	3462	03/21	_	TA 
 Nash        	7CO1	38,45.60,N	105,24.20,W	7999	10/28	_	T 
 Navajo      	5V9	37,00.08,N	107,25.37,W	6110	18/36	_	TA 
 NavajoSP    	1V0	36,48.50,N	107,39.08,W	6475	06/24	_	TA 
 Nederland    	NED	39,57.40,N	105,30.50,W	8000	_	_	T 
 NewMexic    	NM61	35,07.00,N	106,08.83,W	6530	08/26	_	AV 
 NewYork     	nyc	42,07.00,N	75,08.83,W	300	08/26	_	AV 
 Newman      	0NE5	41,01.00,N	102,01.03,W	3528	_	_	TA 
 NewportP    	NP1	52,00.00,N	1,00.00,W	900	_	_	T 
 NorthFV     	7V2	38,49.90,N	107,38.75,W	5797	05/23	122.7	TA 
 Nucla       	6V6	38,14.33,N	108,33.82,W	5935	05/23	122.8	TA 
 OwlCanyo    	4CO2	40,48.00,N	104,59.00,W	5499	19/01	123.3	TA 
 PackardR    	39V	41,26.00,N	101,41.03,W	3524	_	_	TA 
 Parachute    	PAR	39,27.00,N	108,05.00,W	6696	_	_	T 
 Paris          CDG     48,00.46,N	002,33.00,E      392    _	_	TA
 Patterso    	NM21	35,10.70,N	105,52.70,W	6696	18/36	_	TA 
 PawletR     	3NE7	41,49.75,N	102,20.57,W	3850	N/S	_	TA 
 PeakView    	97CO	38,55.75,N	104,09.00,W	6370	09/27	_	TA 
 PerkinsP    	5E4	36,30.50,N	102,23.53,W	3995	01/19	_	TA 
 PerryPrk    	CO93	39,14.70,N	104,53.35,W	6699	16/34	_	TA 
 PerrySto    	TAD	37,15.60,N	104,20.40,W	5761	03/21	122.8	TA 
 Persons     	CO96	38,53.28,N	105,23.08,W	8650	16/34	_	TV 
 Phelps      	3NE9	41,02.47,N	103,04.10,W	4400	N/S	_	TA 
 Phifer      	EAN	42,03.32,N	104,56.42,W	4775	08/26	_	TA 
 Phillips    	3NE2	42,19.67,N	103,11.62,W	4370	08/26	_	AV 
 PhylconR    	9CO9	39,07.75,N	108,08.53,W	6585	01/19	_	AV 
 PikesPk     	ppk	38,50.00,N	105,03.00,W	14110	_	_	T 
 PineBluf    	82V	41,09.50,N	104,07.50,W	5138	08/26	122.8	TA 
 PineView    	02V	39,20.67,N	104,34.87,W	6572	16/34	_	TA 
 PlattR      	WY51	41,09.90,N	106,35.70,W	7545	11/29	_	AV 
 PlatteVl    	18V	40,06.00,N	104,42.07,W	4965	09/27	122.9	AV 
 Pleasant    	5CO8	40,20.48,N	106,50.97,W	7120	08/26	_	TA 
 Price       	0E1	36,33.90,N	103,29.43,W	5631	02/20	_	TA 
 PricesDa    	NM59	35,19.48,N	106,40.03,W	5100	09/27	_	AV 
 PrkSprgs    	56E	35,16.00,N	104,55.03,W	5115	09/27	_	AV 
 Prkland     	7CO0	40,04.30,N	105,02.02,W	5050	08/26	_	TL 
 PuebloM     	PUB	38,17.50,N	104,30.00,W	4726	17/35	119.1	TA 
 Questa2A    	N24	36,47.83,N	105,35.73,W	7671	17/35	122.8	TA 
 RanchoDe    	05CO	40,12.90,N	104,59.07,W	4978	18/36	_	TA 
 Rangely     	4V0	40,05.68,N	108,45.67,W	5276	03/21	122.8	TA 
 RapidCit    	rap	44,02.71,N	103,03.44,W	3202	14/32	118.7	AV 
 Raton/Cr    	RTN	36,44.90,N	104,29.90,W	6349	02/20	122.8	TA 
 Rawhide     	16CO	40,54.50,N	105,05.03,W	5860	07/25	_	T
 Rawlins     	RWL	41,48.33,N	107,11.99,W	6813	04/22	_	TA 
 RayCNP      	CNP	41,05.20,N	102,27.90,W	3680	12/30	122.9	TA 
 Rays        	WY63	41,14.73,N	105,43.87,W	7205	16/34	_	TA 
 Reasoner    	CO14	39,55.00,N	104,48.32,W	5100	17/35	_	AV 
 Redlands    	44CO	38,50.20,N	107,47.57,W	6100	16/34	_	TA 
 Regier      	4NE0	40,54.97,N	101,33.58,W	3363	09/27	_	TA 
